Benchmark Year,Month,Town,Metric,Value
2019,Dec 2019,BARKHAMSTED,Unemployed,73
2019,Dec 2019,BEACON FALLS,Unemployed,127
2019,Dec 2019,BERLIN,Unemployed,343
2019,Dec 2019,BETHANY,Unemployed,75
2019,Dec 2019,BETHEL,Unemployed,297
2019,Dec 2019,BETHLEHEM,Unemployed,73
2019,Dec 2019,BLOOMFIELD,Unemployed,439
2019,Dec 2019,BOLTON,Unemployed,71
2019,Dec 2019,BOZRAH,Unemployed,39
2019,Dec 2019,BRANFORD,Unemployed,471
2019,Dec 2019,BRIDGEPORT,Unemployed,3230
2019,Dec 2019,BRIDGEWATER,Unemployed,17
2019,Dec 2019,BRISTOL,Unemployed,1270
2019,Dec 2019,BROOKFIELD,Unemployed,264
2019,Dec 2019,BROOKLYN,Unemployed,131
2019,Dec 2019,BURLINGTON,Unemployed,158
2019,Dec 2019,CANAAN,Unemployed,9
2019,Dec 2019,CANTERBURY,Unemployed,91
2019,Dec 2019,CANTON,Unemployed,150
2019,Dec 2019,CHAPLIN,Unemployed,37
2019,Dec 2019,CHESHIRE,Unemployed,337
2019,Dec 2019,CHESTER,Unemployed,62
2019,Dec 2019,CLINTON,Unemployed,185
2019,Dec 2019,COLCHESTER,Unemployed,284
2019,Dec 2019,COLEBROOK,Unemployed,21
2019,Dec 2019,COLUMBIA,Unemployed,91
2019,Dec 2019,CORNWALL,Unemployed,18
2019,Dec 2019,COVENTRY,Unemployed,219
2019,Dec 2019,CROMWELL,Unemployed,243
2019,Dec 2019,DANBURY,Unemployed,1319
2019,Dec 2019,DARIEN,Unemployed,225
2019,Dec 2019,DEEP RIVER,Unemployed,64
2019,Dec 2019,DERBY,Unemployed,253
2019,Dec 2019,DURHAM,Unemployed,90
2019,Dec 2019,EAST GRANBY,Unemployed,75
2019,Dec 2019,EAST HADDAM,Unemployed,147
2019,Dec 2019,EAST HAMPTON,Unemployed,195
2019,Dec 2019,EAST HARTFORD,Unemployed,1133
2019,Dec 2019,EAST HAVEN,Unemployed,595
2019,Dec 2019,EAST LYME,Unemployed,263
2019,Dec 2019,EAST WINDSOR,Unemployed,231
2019,Dec 2019,EASTFORD,Unemployed,26
2019,Dec 2019,EASTON,Unemployed,104
2019,Dec 2019,ELLINGTON,Unemployed,255
2019,Dec 2019,ENFIELD,Unemployed,690
2019,Dec 2019,ESSEX,Unemployed,72
2019,Dec 2019,FAIRFIELD,Unemployed,829
2019,Dec 2019,FARMINGTON,Unemployed,343
2019,Dec 2019,FRANKLIN,Unemployed,38
2019,Dec 2019,GLASTONBURY,Unemployed,425
2019,Dec 2019,GOSHEN,Unemployed,48
2019,Dec 2019,GRANBY,Unemployed,161
2019,Dec 2019,GREENWICH,Unemployed,744
2019,Dec 2019,GRISWOLD,Unemployed,230
2019,Dec 2019,GROTON,Unemployed,424
2019,Dec 2019,GUILFORD,Unemployed,288
2019,Dec 2019,HADDAM,Unemployed,114
2019,Dec 2019,HAMDEN,Unemployed,1037
